l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,sim_ticks,sim_seconds,cpi,ipc,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
16kB,16kB,128kB,2,2,4,2283587508000,2.283588,10.40076,0.096147,0.49400994180385144,0.9999987611815614,0.010935919900138128,17112899,16926089
16kB,16kB,128kB,2,2,8,2283513737000,2.283514,10.400424,0.09615,0.49400994180385144,0.9999987611815614,0.010965838259247023,17112899,16925577
16kB,16kB,128kB,2,2,16,2283467883000,2.283468,10.400215,0.096152,0.49400994180385144,0.9999987611815614,0.010979862490079317,17112899,16925337
16kB,16kB,128kB,4,4,4,2275256220000,2.275256,10.362814,0.096499,0.4994603144950937,0.9999988129530782,0.00016557495296944767,16928564,16926086
16kB,16kB,128kB,4,4,8,2275205926000,2.275206,10.362585,0.096501,0.4994603144950937,0.9999988129530782,0.0001958191113427467,16928564,16925574
16kB,16kB,128kB,4,4,16,2275144023000,2.275144,10.362303,0.096504,0.4994603144950937,0.9999988129530782,0.00020999606058023064,16928564,16925334
16kB,16kB,128kB,8,8,4,2275256127000,2.275256,10.362814,0.096499,0.49946037363060997,0.9999988166510437,0.00016545684104671743,16928562,16926085
16kB,16kB,128kB,8,8,8,2275205129000,2.275205,10.362582,0.096501,0.49946037363060997,0.9999988166510437,0.00019570100477964115,16928562,16925573
16kB,16kB,128kB,8,8,16,2275143874000,2.275144,10.362303,0.096504,0.49946037363060997,0.9999988166510437,0.00020987795652944912,16928562,16925333
16kB,16kB,256kB,2,2,4,1058220054000,1.05822,4.819738,0.20748,0.49400994180385144,0.9999987611815614,0.9749727666967526,17112899,428297
16kB,16kB,256kB,2,2,8,1082503105000,1.082503,4.930336,0.202826,0.49400994180385144,0.9999987611815614,0.9587644956495083,17112899,705673
16kB,16kB,256kB,2,2,16,1131616775000,1.131617,5.154028,0.194023,0.49400994180385144,0.9999987611815614,0.9262581984776931,17112899,1261961
16kB,16kB,256kB,4,4,4,1049896087000,1.049896,4.781825,0.209125,0.4994603144950937,0.9999988129530782,0.9747004070970045,16928564,428294
16kB,16kB,256kB,4,4,8,1074179126000,1.074179,4.892424,0.204398,0.4994603144950937,0.9999988129530782,0.9583156342982697,16928564,705670
16kB,16kB,256kB,4,4,16,1123292915000,1.123293,5.116116,0.195461,0.4994603144950937,0.9999988129530782,0.9254553562256802,16928564,1261958
16kB,16kB,256kB,8,8,4,1049895993000,1.049896,4.781825,0.209125,0.49946037363060997,0.9999988166510437,0.9747004616842478,16928562,428293
16kB,16kB,256kB,8,8,8,1074179011000,1.074179,4.892424,0.204398,0.49946037363060997,0.9999988166510437,0.9583156859819364,16928562,705669
16kB,16kB,256kB,8,8,16,1123292766000,1.123293,5.116116,0.195461,0.49946037363060997,0.9999988166510437,0.9254554020861149,16928562,1261957
16kB,16kB,512kB,2,2,4,1025228805000,1.025229,4.669477,0.214157,0.49400994180385144,0.9999987611815614,0.9986466032903885,17112899,23161
16kB,16kB,512kB,2,2,8,1025220932000,1.025221,4.669441,0.214158,0.49400994180385144,0.9999987611815614,0.9986466032903885,17112899,23161
16kB,16kB,512kB,2,2,16,1025219161000,1.025219,4.669433,0.214159,0.49400994180385144,0.9999987611815614,0.9986466032903885,17112899,23161
16kB,16kB,512kB,4,4,4,1016907976000,1.016908,4.631579,0.215909,0.4994603144950937,0.9999988129530782,0.9986320425398264,16928564,23158
16kB,16kB,512kB,4,4,8,1016897165000,1.016897,4.63153,0.215911,0.4994603144950937,0.9999988129530782,0.9986320425398264,16928564,23158
16kB,16kB,512kB,4,4,16,1016896839000,1.016897,4.631528,0.215911,0.4994603144950937,0.9999988129530782,0.9986320425398264,16928564,23158
16kB,16kB,512kB,8,8,4,1016907976000,1.016908,4.631579,0.215909,0.49946037363060997,0.9999988166510437,0.9986321013680404,16928562,23157
16kB,16kB,512kB,8,8,8,1016896906000,1.016897,4.631528,0.215911,0.49946037363060997,0.9999988166510437,0.9986321013680404,16928562,23157
16kB,16kB,512kB,8,8,16,1016896605000,1.016897,4.631527,0.215912,0.49946037363060997,0.9999988166510437,0.9986321013680404,16928562,23157
16kB,16kB,1MB,2,2,4,1024373623000,1.024374,4.665582,0.214336,0.49400994180385144,0.9999987611815614,0.9992495867818819,17112899,12842
16kB,16kB,1MB,2,2,8,1024373623000,1.024374,4.665582,0.214336,0.49400994180385144,0.9999987611815614,0.9992495867818819,17112899,12842
16kB,16kB,1MB,2,2,16,1024373623000,1.024374,4.665582,0.214336,0.49400994180385144,0.9999987611815614,0.9992495867818819,17112899,12842
16kB,16kB,1MB,4,4,4,1016054655000,1.016055,4.627692,0.21609,0.4994603144950937,0.9999988129530782,0.999241415074551,16928564,12842
16kB,16kB,1MB,4,4,8,1016054655000,1.016055,4.627692,0.21609,0.4994603144950937,0.9999988129530782,0.999241415074551,16928564,12842
16kB,16kB,1MB,4,4,16,1016054655000,1.016055,4.627692,0.21609,0.4994603144950937,0.9999988129530782,0.999241415074551,16928564,12842
16kB,16kB,1MB,8,8,4,1016054655000,1.016055,4.627692,0.21609,0.49946037363060997,0.9999988166510437,0.9992414149401206,16928562,12842
16kB,16kB,1MB,8,8,8,1016054655000,1.016055,4.627692,0.21609,0.49946037363060997,0.9999988166510437,0.9992414149401206,16928562,12842
16kB,16kB,1MB,8,8,16,1016054655000,1.016055,4.627692,0.21609,0.49946037363060997,0.9999988166510437,0.9992414149401206,16928562,12842
16kB,32kB,128kB,2,2,4,2283587508000,2.283588,10.40076,0.096147,0.49401795466629933,0.9999987611815614,0.010920257136006865,17112628,16926089
16kB,32kB,128kB,2,2,8,2283529310000,2.283529,10.400495,0.096149,0.49401795466629933,0.9999987611815614,0.010950175968901243,17112628,16925577
16kB,32kB,128kB,2,2,16,2283493237000,2.283493,10.40033,0.096151,0.49401795466629933,0.9999987611815614,0.010957655677124837,17112628,16925449
16kB,32kB,128kB,4,4,4,2275262787000,2.275263,10.362844,0.096499,0.4994745661545028,0.9999988129530782,0.00013710681696157235,16928082,16926086
16kB,32kB,128kB,4,4,8,2275205306000,2.275205,10.362582,0.096501,0.4994745661545028,0.9999988129530782,0.00016735183647226818,16928082,16925574
16kB,32kB,128kB,4,4,16,2275147601000,2.275148,10.36232,0.096503,0.4994745661545028,0.9999988129530782,0.00018152918936790684,16928082,16925334
16kB,32kB,128kB,8,8,4,2275262692000,2.275263,10.362844,0.096499,0.4994755123227624,0.9999988166510437,0.00013521676683182922,16928050,16926085
16kB,32kB,128kB,8,8,8,2275205129000,2.275205,10.362582,0.096501,0.4994755123227624,0.9999988166510437,0.0001654618453018583,16928050,16925573
16kB,32kB,128kB,8,8,16,2275147508000,2.275148,10.362319,0.096503,0.4994755123227624,0.9999988166510437,0.00017963922583468441,16928050,16925333
16kB,32kB,256kB,2,2,4,1058220054000,1.05822,4.819738,0.20748,0.49401795466629933,0.9999987611815614,0.9749723703668686,17112628,428297
16kB,32kB,256kB,2,2,8,1082503105000,1.082503,4.930336,0.202826,0.49401795466629933,0.9999987611815614,0.9587638426463395,17112628,705673
16kB,32kB,256kB,2,2,16,1131608989000,1.131609,5.153993,0.194024,0.49401795466629933,0.9999987611815614,0.9262570307065982,17112628,1261961
16kB,32kB,256kB,4,4,4,1049887241000,1.049887,4.781785,0.209127,0.4994745661545028,0.9999988129530782,0.9746996867454806,16928082,428294
16kB,32kB,256kB,4,4,8,1074179126000,1.074179,4.892424,0.204398,0.4994745661545028,0.9999988129530782,0.958314447425561,16928082,705670
16kB,32kB,256kB,4,4,16,1123292915000,1.123293,5.116116,0.195461,0.4994745661545028,0.9999988129530782,0.92545323372719,16928082,1261958
16kB,32kB,256kB,8,8,4,1049887148000,1.049887,4.781785,0.209127,0.4994755123227624,0.9999988166510437,0.9746996964977263,16928050,428293
16kB,32kB,256kB,8,8,8,1074179011000,1.074179,4.892424,0.204398,0.4994755123227624,0.9999988166510437,0.9583144252365879,16928050,705669
16kB,32kB,256kB,8,8,16,1123292766000,1.123293,5.116116,0.195461,0.4994755123227624,0.9999988166510437,0.9254531474789014,16928050,1261957
