variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
simple,32KiB,128KiB,512KiB,4,4,4394886368000,0.270014,3.703506,0.016797,0.0,0.746788,0.9832032895471963,0.9999997406866152,0.25321217549039327,5269836,3935766
simple,32KiB,32KiB,1MB,16,16,4402870701000,0.269525,3.710234,0.021642,0.0,0.515445,0.9783583905926416,0.9999997406866152,0.4845552683979477,6789885,3500029
simple,32KiB,64KiB,1MB,16,8,4380031142000,0.27093,3.690988,0.019532,0.0,0.56819,0.9804677788477045,0.9999997406866152,0.43180987859192416,6128081,3482156
simple,32KiB,32KiB,512KiB,8,4,4445663146000,0.26693,3.746295,0.021566,0.0,0.585251,0.9784344881148531,0.9999997406866152,0.41474918694248697,6766010,3960061
simple,32KiB,128KiB,512KiB,8,4,4400414605000,0.269675,3.708164,0.017351,0.0,0.722958,0.9826491752795967,0.9999997406866152,0.2770416609953989,5443685,3935864
simple,32KiB,32KiB,512KiB,4,4,4440461931000,0.267243,3.741912,0.021051,0.0,0.599567,0.9789494683352186,0.9999997406866152,0.40043252978903576,6604439,3960061
simple,32KiB,32KiB,512KiB,16,8,4460168930000,0.266062,3.758519,0.021642,0.0,0.60942,0.9783583905926416,0.9999997406866152,0.39057986904572384,6789885,4138151
simple,32KiB,128KiB,1MB,8,16,4361506003000,0.272081,3.675377,0.017351,0.0,0.645116,0.9826491752795967,0.9999997406866152,0.354883599869143,5443685,3512084
simple,32KiB,32KiB,1MB,4,8,4394968062000,0.270009,3.703575,0.021051,0.0,0.52659,0.9789494683352186,0.9999997406866152,0.473410273612034,6604439,3478053
simple,32KiB,128KiB,512KiB,16,8,4414184637000,0.268834,3.719768,0.01743,0.0,0.751021,0.9825698713026274,0.9999997406866152,0.24897887909833444,5468566,4107327
simple,32KiB,64KiB,256KiB,16,4,4481099559000,0.26482,3.776157,0.019532,0.0,0.749625,0.9804677788477045,0.9999997406866152,0.2503754178221279,6128081,4594078
simple,32KiB,64KiB,512KiB,8,4,4425416255000,0.268152,3.729233,0.019452,0.0,0.650156,0.9805479593406365,0.9999997406866152,0.3498435039516829,6102925,3968132
